image_id,species_id,common_name,scientific_name,filename,commons_title,license,license_url,artist,credit,source_url,thumb_url,file_size_bytes
101,31,Antipodean Albatross,Diomedea antipodensis,antipodean_albatross_bf60a9.jpg,File:Antipodean albatross 1.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,OKNZ,Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/97/Antipodean_albatross_1.jpg/500px-Antipodean_albatross_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,33491
102,31,Antipodean Albatross,Diomedea antipodensis,antipodean_albatross_d6de9f.jpg,File:Antipodean albatross 2.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,OKNZ,Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0c/Antipodean_albatross_2.jpg/500px-Antipodean_albatross_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,28225
103,32,Buller's Shearwater,Ardenna bulleri,buller_s_shearwater_fe1145.jpg,File:Buller's Shearwater (Puffinus bulleri) (10573504913).jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Gregory ""Slobirdr"" Smith",Buller's Shearwater (Puffinus bulleri),,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/Buller%27s_Shearwater_%28Puffinus_bulleri%29_%2810573504913%29.jpg/500px-Buller%27s_Shearwater_%28Puffinus_bulleri%29_%2810573504913%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,30829
104,32,Buller's Shearwater,Ardenna bulleri,buller_s_shearwater_1062eb.jpg,File:Buller's Shearwater 0A2A8858.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,JJ Harrison,Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ed/Buller%27s_Shearwater_0A2A8858.jpg/500px-Buller%27s_Shearwater_0A2A8858.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,11348
105,33,Fernbird,Poodytes punctatus,fernbird_488ad6.jpg,File:New Zealand Fernbird - New Zealand (27507282949).jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Francesco Veronesi from Italy,New Zealand Fernbird - New Zealand_FJ0A4109,,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/64/New_Zealand_Fernbird_-_New_Zealand_%2827507282949%29.jpg/500px-New_Zealand_Fernbird_-_New_Zealand_%2827507282949%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,113512
106,33,Fernbird,Poodytes punctatus,fernbird_6964c0.jpg,File:New Zealand Fernbird - New Zealand (39254373902).jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Francesco Veronesi from Italy,New Zealand Fernbird - New Zealand_FJ0A0312,,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/31/New_Zealand_Fernbird_-_New_Zealand_%2839254373902%29.jpg/500px-New_Zealand_Fernbird_-_New_Zealand_%2839254373902%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,61359
107,34,Whitehead,Mohoua albicilla,whitehead_500826.jpg,File:Mohoua albicilla 34872017.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Christopher Stephens,https://www.inaturalist.org/photos/34872017,,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/52/Mohoua_albicilla_34872017.jpg/500px-Mohoua_albicilla_34872017.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,23333
108,34,Whitehead,Mohoua albicilla,whitehead_7ad99c.jpg,File:Mohoua albicilla 37972561.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Christopher Stephens,https://www.inaturalist.org/photos/37972561,,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2e/Mohoua_albicilla_37972561.jpg/500px-Mohoua_albicilla_37972561.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,43604
109,35,Weka,Gallirallus australis,weka_14a5ea.jpg,File:0A2A9595 Weka.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,JJ Harrison,Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b7/0A2A9595_Weka.jpg/500px-0A2A9595_Weka.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,63743
110,35,Weka,Gallirallus australis,weka_485127.jpg,File:Gallirallus australis 2.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Gallirallus_australis_1.jpg: Alan Vernon
derivative work: Berichard (talk)",Gallirallus_australis_1.jpg,,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/79/Gallirallus_australis_2.jpg/500px-Gallirallus_australis_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,57465
